name,address,categories,latitude,longitude,yelp_id
Shogun,"3606 SE Metro Pkwy, Bentonville, AR 72712","['Japanese', 'Sushi Bars', 'Steakhouses']",36.3339155688069,-94.18759104818128,pQ06zGiWqcyoZ8utB6C7fQ
Chili's,"420 N 46th St, Rogers, AR 72756","['American', 'Bars', 'Tex-Mex']",36.33902,-94.17999,bf6CWohbYsTTExLs_BS6VA
Goldtown Sushi & BBQ,"1100 SE 14th St, Bentonville, AR 72712","['Japanese', 'Korean', 'Sushi Bars']",36.35608630411222,-94.19614123187289,eYm9UDmP_bpjbyxzo2MnUA
Taziki's Mediterranean Cafe - Bentonville,"1000 SE Walton Blvd, Bentonville, AR 72712","['Mediterranean', 'Greek']",36.3348866695625,-94.2014360988759,K7aUaoqLTpDko8fh0P2IGw
Ron's Hamburgers & Chili,"1702 S Walton Blvd, Ste 12, Bentonville, AR 72712",['Burgers'],36.35378,-94.211903,nB3ha6Cxf-BYJsR7fTPcag
Crisp & Green,"1401 S Walton Blvd, Bentonville, AR 72712","['Salad', 'Juice Bars & Smoothies', 'Acai Bowls']",36.35651,-94.21205,n2VB_HyMKxlotvhnQ7JFBQ
Kobe Sushi & Grill,"1702 S Walton Blvd, Ste 8, Bentonville, AR 72712","['Japanese', 'Sushi Bars']",36.353855,-94.211724,joPnTY21m5ptQoArjmqrOQ
Lennys Grill & Subs,"800 SE Walton Blvd, Bentonville, AR 72712",['Sandwiches'],36.3348584,-94.2009205,NgVrp2_eX3hIWxpEbkhfJg
Village Inn,"2300 SE Walton Blvd, Bentonville, AR 72712",['Breakfast & Brunch'],36.3347588,-94.1872787,mcMYuLMbj9URmKRl2ic59g
Rick's Bakery,"4600 W Rozell St, Rogers, AR 72756","['Patisserie/Cake Shop', 'Bakeries', 'Breakfast & Brunch']",36.34062,-94.17997,eXHowyJDbFeKOoFif_rdTg
Cafe USA - Bentonville,"2308 SE 28th St, Ste 9, Bentonville, AR 72712",['Cafes'],36.342089,-94.18558,gWcij50q0MyThQRw_Iwj9g
Taqueria Real Jacona,"2308 SE 28th St, Bentonville, AR 72712",['Mexican'],36.342056,-94.185748,GnWj6bJLEWcfZrf6217FSQ
Buffalo Wild Wings,"2707 SE Moberly Ln, Bentonville, AR 72712","['American', 'Chicken Wings', 'Sports Bars']",36.3431109038153,-94.183134,FmSWZFh2SMDdUV036k6bXQ
Bistro 301,"301 SE Walton Blvd, Bentonville, AR 72712",['New American'],36.33619,-94.20579,LU5KeBG44_hdcF0D5KUEJQ
Freddy's Frozen Custard & Steakburgers,"4507 W Walnut St, Ste 401, Rogers, AR 72756","['Hot Dogs', 'Burgers', 'Ice Cream & Frozen Yogurt']",36.33567290956901,-94.18044216699168,FsANyp1YR3oTIabpbAEy3g
McAlister's Deli,"900 SE Walton Blvd, Bentonville, AR 72712","['Delis', 'Sandwiches', 'Salad']",36.334718116120534,-94.2002931895666,HDEF5AxD1H0awOHzpvhMdg
King Burrito,"2000 S Walton Blvd, Bentonville, AR 72712","['Mexican', 'Breakfast & Brunch']",36.347451,-94.211352,TuLjnDH7K5tnc69eWjQMiw
Great Harvest NWA,"2401 SE J St, Bentonville, AR 72712","['Cafes', 'Bakeries', 'Sandwiches']",36.34619490193627,-94.1966802,DAkeRMiSBI9ucZODBoiFfg
Waffle House,"2308 SE Walton Blvd, Bentonville, AR 72712","['Breakfast & Brunch', 'Diners', 'American']",36.33475,-94.18584,xJNX53kLiDg3NvZ9B27FIQ
