fsq_id,categories,chains,closed_bucket,distance,link,name_x,timezone,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.census_block,location.country,location.dma,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,location.cross_street,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.front_door.latitude,geocodes.front_door.longitude,related_places.parent.fsq_id,related_places.parent.categories,related_places.parent.name,station,related_places.children,Unnamed: 0,name_y,longitude,latitude,free_bikes,empty_slots
5b61ee4a1953f3002c6354fb,"[{'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]","[{'id': '423c7cca-c445-4761-8823-de54a40a3094', 'name': ""Scooter's Coffee""}]",VeryLikelyOpen,515,/v3/places/5b61ee4a1953f3002c6354fb,Scotters Coffee,America/Chicago,36.371404,-94.222094,36.371404,-94.222094,206 S Walton Blvd,50070206043000,US,Fort Smith-Fay-Sprngdl,"206 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4c3f7b8bda3dc9289ff1c5b9,"[{'id': 13046, 'name': 'Ice Cream Parlor', 'short_name': 'Ice Cream', 'plural_name': 'Ice Cream Parlors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],Unsure,831,/v3/places/4c3f7b8bda3dc9289ff1c5b9,Frozen Tung,America/Chicago,36.365694,-94.210502,,,604 SW A St,50070206042029,US,Fort Smith-Fay-Sprngdl,"604 SW A St (By 8th St.), Bentonville, AR 72712",Bentonville,72712,AR,,By 8th St.,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4e8f2ec129c2117fa34f4ffa,"[{'id': 13099, 'name': 'Chinese Restaurant', 'short_name': 'Chinese', 'plural_name': 'Chinese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","[{'id': '16e2ce50-992b-0132-fd75-7a163eb2a6fc', 'name': 'Panda Express'}]",VeryLikelyOpen,298,/v3/places/4e8f2ec129c2117fa34f4ffa,Panda Express,America/Chicago,36.369602,-94.221306,36.369602,-94.221306,319 S Walton Blvd,50070206042005,US,Fort Smith-Fay-Sprngdl,"319 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4eb47221b8f786e274c7e9c7,"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","[{'id': 'ab4ab7c0-d68a-012e-5619-003048cad9da', 'name': ""Papa John's Pizza""}]",VeryLikelyOpen,901,/v3/places/4eb47221b8f786e274c7e9c7,Papa John's Pizza,America/Chicago,36.375057,-94.22215,36.375057,-94.22215,231 N Walton Blvd,50070206061034,US,Fort Smith-Fay-Sprngdl,"231 N Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,Ste 5,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4b50b9ebf964a520882f27e3,"[{'id': 13303, 'name': 'Mexican Restaurant', 'short_name': 'Mexican', 'plural_name': 'Mexican Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}]",[],LikelyOpen,390,/v3/places/4b50b9ebf964a520882f27e3,Acambaro Mexican Restaurant,America/Chicago,36.370569,-94.220895,36.370569,-94.220895,301 S Walton Blvd,50070206042005,US,Fort Smith-Fay-Sprngdl,"301 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4bd03c94046076b0cc8a6f71,"[{'id': 13068, 'name': 'American Restaurant', 'short_name': 'American', 'plural_name': 'American Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","[{'id': '16e78f60-992b-0132-fd75-7a163eb2a6fc', 'name': 'Sonic Drive-In'}]",VeryLikelyOpen,473,/v3/places/4bd03c94046076b0cc8a6f71,Sonic Drive-In,America/Chicago,36.370993,-94.222033,36.370993,-94.222033,208 S Walton Blvd,50070206043000,US,Fort Smith-Fay-Sprngdl,"208 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
3a8568fed73845a265a80346,"[{'id': 13303, 'name': 'Mexican Restaurant', 'short_name': 'Mexican', 'plural_name': 'Mexican Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}]",[],LikelyOpen,327,/v3/places/3a8568fed73845a265a80346,Salsarita's Fresh Mexican Grill,America/Chicago,36.364849,-94.217657,36.364849,-94.217657,702 SW 8th St,50070206042005,US,Fort Smith-Fay-Sprngdl,"702 SW 8th St, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4c6d66f3e6b7b1f7409ca98e,"[{'id': 13276, 'name': 'Sushi Restaurant', 'short_name': 'Sushi', 'plural_name': 'Sushi Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}, {'id': 13352, 'name': 'Thai Restaurant', 'short_name': 'Thai', 'plural_name': 'Thai Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",[],LikelyOpen,404,/v3/places/4c6d66f3e6b7b1f7409ca98e,Taste Of Siam,America/Chicago,36.370259,-94.222038,36.370259,-94.222038,310 S Walton Blvd,50070206043000,US,Fort Smith-Fay-Sprngdl,"310 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
599281f259fe5c55c9d8ad7f,"[{'id': 13002, 'name': 'Bakery', 'short_name': 'Bakery', 'plural_name': 'Bakeries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}]","[{'id': '1a89778f-b583-4ecb-936b-671889eacd74', 'name': 'Walmart Bakery'}]",VeryLikelyOpen,486,/v3/places/599281f259fe5c55c9d8ad7f,Walmart Bakery,America/Chicago,36.368196,-94.224902,36.368196,-94.224902,406 S Walton Blvd,50070206043000,US,Fort Smith-Fay-Sprngdl,"406 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,# 100,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
5f5bdca6c23cdf2dc1258501,"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","[{'id': 'ab4afc60-d68a-012e-5619-003048cad9da', 'name': ""Domino's Pizza""}]",VeryLikelyOpen,493,/v3/places/5f5bdca6c23cdf2dc1258501,Domino's Pizza,America/Chicago,36.368175,-94.224978,36.368175,-94.224978,406 S Walton Blvd,50070206043000,US,Fort Smith-Fay-Sprngdl,"406 S Walton Blvd, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4f2ae281e4b05997ed84c6c9,"[{'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],LikelyOpen,507,/v3/places/4f2ae281e4b05997ed84c6c9,Starbucks GPC HQ,America/Chicago,36.364878,-94.214627,36.364878,-94.214627,508 SW 8th St,50070206042027,US,Fort Smith-Fay-Sprngdl,"508 SW 8th St, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
4f3226c319836c91c7bb3885,"[{'id': 13099, 'name': 'Chinese Restaurant', 'short_name': 'Chinese', 'plural_name': 'Chinese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",[],Unsure,717,/v3/places/4f3226c319836c91c7bb3885,China Linq,America/Chicago,36.372847,-94.223532,36.372847,-94.223532,918 W Central Ave,50070206061035,US,Fort Smith-Fay-Sprngdl,"918 W Central Ave, Bentonville, AR 72712",Bentonville,72712,AR,,,,,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
3ba5247b52914d672ac1c7a6,"[{'id': 13033, 'name': 'Bubble Tea Shop', 'short_name': 'Bubble Tea', 'plural_name': 'Bubble Tea Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}}, {'id': 13099, 'name': 'Chinese Restaurant', 'short_name': 'Chinese', 'plural_name': 'Chinese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",[],VeryLikelyOpen,822,/v3/places/3ba5247b52914d672ac1c7a6,PX Asian Food Truck,America/Chicago,36.367812,-94.210578,36.367812,-94.210578,404 SW A St,50070206042021,US,Fort Smith-Fay-Sprngdl,"404 SW A St, Bentonville, AR 72712",Bentonville,72712,AR,,,36.36781,-94.210307,,,,,,0,,0,Walmart International,-94.2196,36.36721,7,6
